Subject #,Age,Gender,SexOr,Hispanic,Races,Image,Condition,Face,Subject Rating
,Under 18,Male,Heterosexual(straight),Yes,,Individual_17,Individual,17b,566
,Under 18,Male,Heterosexual(straight),Yes,,Zendaya_None,Zendaya,None,515
,Under 18,Male,Heterosexual(straight),Yes,,Faceless_25,Faceless,25a,561
