Subject #,Age,Gender,SexOr,Hispanic,Races,Image,Condition,Face,Subject Rating
,Under 18,Male,Heterosexual(straight),Yes,,Group_39,Group,39a,515
,Under 18,Male,Heterosexual(straight),Yes,,Zendaya_None,Zendaya,None,895
